comm,loans,bad,bad_rate,members
277,17,0,0.0,29
276,1,0,0.0,3
275,1,0,0.0,4
274,1,0,0.0,3
273,1,0,0.0,3
272,1,0,0.0,3
271,14,0,0.0,23
270,2,0,0.0,4
256,1,0,0.0,4
268,1,0,0.0,4
267,12,0,0.0,25
266,1,0,0.0,4
265,1,0,0.0,3
263,2,0,0.0,5
262,38,0,0.0,75
261,4,0,0.0,6
259,1,0,0.0,4
258,3,0,0.0,6
269,2,0,0.0,4
206,1,0,0.0,4
205,12,0,0.0,22
204,8,0,0.0,14
203,1,0,0.0,3
202,1,0,0.0,3
201,60,0,0.0,127
199,1,0,0.0,3
198,3,0,0.0,6
197,3,0,0.0,7
231,19,0,0.0,35
194,10,0,0.0,16
193,4,0,0.0,8
191,1,0,0.0,3
190,7,0,0.0,14
189,4,0,0.0,8
188,1,0,0.0,3
187,3,0,0.0,7
186,2,0,0.0,3
185,5,0,0.0,10
195,2,0,0.0,6
230,1,0,0.0,3
229,1,0,0.0,4
228,1,0,0.0,4
226,22,0,0.0,39
225,2,0,0.0,5
224,4,0,0.0,9
223,8,0,0.0,17
222,3,0,0.0,7
219,1,0,0.0,3
207,5,0,0.0,11
216,7,0,0.0,12
215,4,0,0.0,11
214,1,0,0.0,3
213,1,0,0.0,3
212,3,0,0.0,6
211,6,0,0.0,12
210,4,0,0.0,9
209,3,0,0.0,7
208,1,0,0.0,3
218,2,0,0.0,6
346,2,0,0.0,5
345,72,0,0.0,153
344,8,0,0.0,20
343,3,0,0.0,5
342,9,0,0.0,15
341,1,0,0.0,4
340,4,0,0.0,10
339,3,0,0.0,6
338,4,0,0.0,10
279,1,0,0.0,2
336,7,0,0.0,17
335,8,0,0.0,17
334,4,0,0.0,6
333,4,0,0.0,7
332,1,0,0.0,3
331,1,0,0.0,3
330,9,0,0.0,18
329,1,0,0.0,3
328,1,0,0.0,3
337,5,0,0.0,12
367,1,0,0.0,3
366,1,0,0.0,3
365,1,0,0.0,3
364,12,0,0.0,19
362,1,0,0.0,3
361,1,0,0.0,3
360,2,0,0.0,4
359,1,0,0.0,3
358,5,0,0.0,5
347,6,0,0.0,12
356,4,0,0.0,9
355,12,0,0.0,23
354,3,0,0.0,7
353,1,0,0.0,3
352,15,0,0.0,27
351,1,0,0.0,3
350,2,0,0.0,5
349,1,0,0.0,3
348,2,0,0.0,6
357,1,0,0.0,3
300,6,0,0.0,14
299,35,0,0.0,68
298,1,0,0.0,3
297,1,0,0.0,4
296,4,0,0.0,9
295,84,0,0.0,162
294,1,0,0.0,3
292,1,0,0.0,4
291,2,0,0.0,6
327,1,0,0.0,3
289,7,0,0.0,15
288,7,0,0.0,14
287,3,0,0.0,7
285,10,0,0.0,21
284,1,0,0.0,3
283,2,0,0.0,6
282,7,0,0.0,16
281,3,0,0.0,6
280,6,0,0.0,16
290,2,0,0.0,6
